Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of a healthy diet [CoHD]
Food Prices for Nutrition 3.0,FPN 3.0,Cote d'Ivoire,CIV,2018,YR2018,2.52
Food Prices for Nutrition 3.0,FPN 3.0,Cote d'Ivoire,CIV,2019,YR2019,2.63
Food Prices for Nutrition 3.0,FPN 3.0,Cote d'Ivoire,CIV,2020,YR2020,2.71
Food Prices for Nutrition 3.0,FPN 3.0,Cote d'Ivoire,CIV,2021,YR2021,2.93
Food Prices for Nutrition 3.0,FPN 3.0,Cote d'Ivoire,CIV,2022,YR2022,3.28
Food Prices for Nutrition 3.0,FPN 3.0,Croatia,HRV,2017,YR2017,3.31
Food Prices for Nutrition 3.0,FPN 3.0,Croatia,HRV,2018,YR2018,3.35
Food Prices for Nutrition 3.0,FPN 3.0,Croatia,HRV,2019,YR2019,3.44
Food Prices for Nutrition 3.0,FPN 3.0,Croatia,HRV,2020,YR2020,3.53
Food Prices for Nutrition 3.0,FPN 3.0,Croatia,HRV,2021,YR2021,3.66
Food Prices for Nutrition 3.0,FPN 3.0,Croatia,HRV,2022,YR2022,4.22
Food Prices for Nutrition 3.0,FPN 3.0,Curacao,CUW,2017,YR2017,3.02
Food Prices for Nutrition 3.0,FPN 3.0,Curacao,CUW,2018,YR2018,3.15
Food Prices for Nutrition 3.0,FPN 3.0,Curacao,CUW,2019,YR2019,3.31
Food Prices for Nutrition 3.0,FPN 3.0,Curacao,CUW,2020,YR2020,3.41
Food Prices for Nutrition 3.0,FPN 3.0,Curacao,CUW,2021,YR2021,3.68
Food Prices for Nutrition 3.0,FPN 3.0,Curacao,CUW,2022,YR2022,4.1
Food Prices for Nutrition 3.0,FPN 3.0,Cyprus,CYP,2017,YR2017,2.89
Food Prices for Nutrition 3.0,FPN 3.0,Cyprus,CYP,2018,YR2018,2.93
Food Prices for Nutrition 3.0,FPN 3.0,Cyprus,CYP,2019,YR2019,3.04
Food Prices for Nutrition 3.0,FPN 3.0,Cyprus,CYP,2020,YR2020,3.14
Food Prices for Nutrition 3.0,FPN 3.0,Cyprus,CYP,2021,YR2021,3.19
Food Prices for Nutrition 3.0,FPN 3.0,Cyprus,CYP,2022,YR2022,3.54
Food Prices for Nutrition 3.0,FPN 3.0,Czechia,CZE,2017,YR2017,2.81
Food Prices for Nutrition 3.0,FPN 3.0,Czechia,CZE,2018,YR2018,2.83
Food Prices for Nutrition 3.0,FPN 3.0,Czechia,CZE,2019,YR2019,2.97
